"movie_id","title","description","rating","rank","release_year"
208185,"An Extremely Goofy Movie","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.","6.40",4,2000
250371,"The Other Side of Heaven","John Groberg, a farm kid from Idaho Falls, crosses an ocean to become a missionary in the remote and exotic Tongan islands during the 1950s.","6.50",4,2001
296042,"Ichi the Killer","As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.","7.10",3,2001
300195,"Mickey's Magical Christmas: Snowed in at the House of Mouse","Mickey and all his friends hold their own Christmas party at the House of Mouse, after being snowed in.","6.80",4,2001
303361,"May","A lonely young woman traumatized by a difficult childhood and her increasingly desperate attempts to connect with the people around her is sent into a murderous tailspin.","6.70",4,2002
322330,"Freaky Friday","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","6.20",4,2003
329374,"Mickey's House of Villains","The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy....","6.60",4,2001
340012,"Being Julia","Set in '30s London, the film involves stage actors and their experiences with love and revenge.","7.00",3,2004
368709,"Elizabethtown","During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.","6.40",4,2005
419491,"Believe in Me","In a conservative small town, a young man's wish to coach high school basketball are tweaked by a school board decision that makes him the new coach of the girls' team.","7.10",3,2006
436629,"New York Doll","A recovering alcoholic and recently converted Mormon, Arthur &quot;Killer&quot; Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.","7.90",3,2005
841046,"Walk Hard: The Dewey Cox Story","Singer Dewey Cox overcomes adversity to become a musical legend.","6.80",4,2007
983213,"5 Centimeters Per Second","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.","7.70",3,2007
996605,"Love Songs","A musical interpretation of three lovers living in Paris.","7.20",3,2007
1103963,"24 City","Change and a city in China. In Chengdu, factory 420 is being pulled down to make way for multi-story buildings with luxury flats. Scenes of factory operations, of the workforce, and of ...","7.10",3,2008
1259528,"Den of Thieves","A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.","7.00",3,2018
1413492,"12 Strong","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","6.70",4,2018
1485796,"The Greatest Showman","Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","7.80",3,2017
1537196,"Banana in a Nutshell","An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.","6.60",4,2005
1545985,"The Coming Days","In the near future the dreams of three adult siblings living in Germany are fractured by difficult romantic relationships and the unwitting involvement with an underground organization ...","6.30",4,2010
1590193,"The Commuter","An Insurance Salesman/Ex-Cop is caught up in a criminal conspiracy during his daily commute home.","6.30",4,2018
1706598,"Every Secret Thing","A detective looks to unravel a mystery surrounding missing children and the prime suspects: two young women who, seven years ago, were put away for an infant's death.","6.10",4,2014
1727497,"Control","The once unconditional friendship between police officers Vincke and Verstuyft hits a very rough patch when they come up against a series of gruesome murders. Complicating matters even ...","6.30",4,2017
1859650,"To Rome with Love","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.","6.30",4,2012
2009432,"Redemption Trail","Two powerful, yet deeply troubled women - refugees from political and personal trauma - flee a past that haunts them. The daughter of a murdered Black Panther revolutionary, Tess, lives off...","6.70",4,2013
2018111,"And Then I Go","In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, ...","7.60",3,2017
2057931,"The Foster Boy","A Swiss-German rural peasant family takes Max, a crude 15-year-old boy, into a foster situation of constant bullying. Soon, a foster girl is added to the mix.","7.40",3,2011
2141623,"Black Marigolds","Writer Ryan Cole and his Wife Kate go to an off season vacation house where he intends to finish his second novel. But their plans are changed by a devastating mental illness.","6.10",4,2013
2243900,"Trouble Is My Business","Detective Roland Drake falls for two sisters from the Montemar family. One woman is dead and the other wants to kill him.","6.10",4,2018
2317088,"Sons of Ben","After many rumors of an MLS team arriving in Philadelphia never materializing, a small group of soccer fans took matters into their own hands and started a supporters group called the Sons ...","7.80",3,2016
2349677,"Farewell Ferris Wheel","Farewell Ferris Wheel explores how the U.S. Carnival industry fights to keep itself alive by legally employing Mexican migrant workers with the controversial H-2B guestworker visa.","7.40",3,2016
2388986,"Paterno","The film centers on Joe Paterno, who after becoming the most successful coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his ...","6.60",4,2018
2522908,"Secrets in the Fall","Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble ...","7.30",3,2015
